name,09/30/2025,06/30/2025,03/31/2025,12/31/2024,09/30/2024,06/30/2024,03/31/2024,12/31/2023,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,03/31/2007
		AdditionalPaidInCapital,"548,711,589","548,183,361","547,992,475","547,915,003","547,865,450","547,095,716","546,295,081","545,222,465","544,552,861","543,178,952","542,496,425","542,058,092","540,847,718","540,765,380","540,576,988","540,583,564","540,513,460","540,507,303","540,596,152","541,272,503","561,009,660","560,629,110","559,044,500","560,814,066","491,028,196","412,941,419","412,043,197","410,195,990","413,855,709","393,742,169","391,383,169",,"382,818,572","377,291,538","402,631,430","398,753,371","397,721,264","396,712,338","395,876,282","394,528,392","392,527,675","390,496,231","387,502,800","385,869,281","389,127,032","386,545,958","437,964,776","433,410,729","430,372,880","428,701,991","427,443,700","424,283,151","421,488,674","444,001,173","440,832,695","438,240,745","433,975,559","429,907,429","491,585,143",,,"487,386,876","485,907,507","504,979,439","502,699,362","501,628,024","500,350,068","499,356,450","502,242,244.189","512,205,893.474","498,470,683.612","209,575,768.849","204,277,438.896","203,139,446"
		RetainedEarnings,"-449,550,590","-451,920,026","-441,151,591","-427,806,949","-441,045,983","-426,393,737","-409,640,249","-391,709,172","-400,264,774","-393,013,912","-375,800,943","-358,048,927","-360,066,088","-348,079,921","-326,009,894","-310,156,018","-307,606,020","-281,405,049","-318,943,586","-298,533,669","-237,694,169","-255,592,375","-222,050,041","-200,151,065","-126,712,456","-100,678,117","-86,157,312","-71,888,585","-57,985,838","-113,687,695","-13,380,229","25,884,905","-24,418,428","-8,459,563","38,018,802","91,712,703","16,300,607","51,878,166","47,734,804","63,106,045","13,753,034","27,821,731","21,683,617","36,682,098","12,064,308","3,233,400","-1,372,103","12,018,003","-23,560,007","-19,239,975","-28,648,538","-22,526,439","-55,679,713","-46,592,253","-51,856,528","-55,152,258","-93,210,555","-94,653,268","-107,697,998",,,"-118,501,810","-127,452,014","-89,331,087","-95,773,574","-79,411,774","-92,102,023","-80,222,388","-94,898,149.676","-102,408,821.348","-114,934,522.878","-109,347,236.878","-126,605,895.824","-135,082,017"
		TreasuryStock,"8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,201,046","8,511,943","8,626,894","8,779,815","9,270,884","9,580,716","9,818,754","10,043,516","10,277,602","10,761,126","11,625,924","31,740,603","29,538,999","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,072","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","27,737,073","20,353,227","8,286,542","8,201,045","8,201,045","7,460,624","5,349,519","1,832,850","1,029,766","461,885","461,885","461,885","329,357","199,401",,,"0",,,,,,,,"0","19,077,899","17,018,432","16,677,623","10,126,861","7,509,483",,"16,098,184.301","16,110,066.641","16,130,076.86","16,113,821.376","16,106,940"
		GainsLossesNotAffectingRetainedEarnings,"-36,839,527","-36,947,902","-36,939,934","-36,952,183","-37,066,452","-36,968,082","-36,991,696","-37,004,507","-36,931,939","-36,912,686","-37,052,707","-37,003,085","-36,903,023","-37,235,569","-37,594,335","-37,559,847","-37,430,740","-37,467,613","-37,334,223","-37,424,722","-38,838,635","-35,904,707","-34,682,665","-37,478,167","-36,391,218","-38,158,218","-39,394,618","-38,288,364","-38,133,927","-27,092,466","-27,067,539","-26,850,955","-26,345,701","-26,190,857","-25,069,771","-24,999,213","-24,934,716","-24,933,003","-25,174,129","-25,075,067","-25,672,697","-27,437,809","-27,176,682","-27,424,477","-27,126,915","-27,127,624","-27,145,929","-27,274,090","-27,143,666","-26,956,982","-26,379,146","-26,267,883","-25,884,591","-25,667,619","-26,004,399","-25,935,095","-25,345,282","-24,019,911","-22,217,189",,,"-17,192,911","-16,399,334","-16,350,368","-16,328,764","-16,414,389","-16,157,846","-16,200,060","-22,416,338.819","-20,530,434.655","-7,935,048.758",,,
			OtherEquityAdjustments,"-36,839,527","-36,947,902","-36,939,934","-36,952,183","-37,066,452","-36,968,082","-36,991,696","-37,004,507","-36,931,939","-36,912,686","-37,052,707","-37,003,085","-36,903,023","-37,235,569","-37,594,335","-37,559,847","-37,430,740","-37,467,613","-37,334,223","-37,424,722","-38,838,635","-35,904,707","-34,682,665","-37,478,167","-36,391,218","-38,158,218","-39,394,618","-38,288,364",,,,,"-26,345,701","-26,190,857","-25,069,771","-24,999,213","-24,934,716","-24,933,003","-25,174,129","-25,075,067","-25,672,697","-27,437,809","-27,176,682","-27,424,477","-27,126,915","-27,127,624","-27,145,929","-27,274,090","-27,143,666","-26,956,982","-26,379,146","-26,267,883",,,"-26,004,399",,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"-563,996",,,"-1,035,796",,,,,,,,"-5,226,173","-5,226,173",,,,,,
	MinorityInterest,"-64,284","-64,284","-64,284","-64,256","-64,234","-64,211","-64,189","-64,161","-362,485","416,951","434,161","414,857","2,679,910","2,427,561","2,553,060","3,130,442","3,977,918","4,175,086","49,615,147","49,341,369","49,869,795","49,653,844","50,048,497","50,391,547","49,458,582","39,785,098","39,584,699","39,576,017","0","648,575","343,490","36,647,572","36,367,039","35,820,988","1,079,928","1,299,333","1,333,333",,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"58,885,029","55,878,990","66,458,797","79,710,448","66,285,930","80,266,812","96,192,218","113,037,868","103,878,774","109,772,744","125,850,979","143,099,333","139,818,939","150,899,153","172,112,190","187,769,092","190,153,331","216,077,186","178,277,364","198,404,863","257,452,928","244,309,704","279,286,651","300,140,073","304,478,263","250,001,828","262,388,011","275,816,839","293,533,742","228,759,806","326,733,199","364,729,438","307,852,241","318,438,916","391,377,300","441,263,700","364,883,994","399,454,340","394,230,588","415,732,223","375,847,550","386,205,188","377,322,408","391,175,627","372,224,255","364,328,233","411,891,872","421,163,060","382,680,121","385,515,948","375,547,719","378,741,745","343,376,687","375,193,618","366,414,571","360,028,154","318,856,723","314,663,090","364,063,000",,,"355,110,864","345,474,868","383,723,704","377,082,211","392,627,857","380,240,784","393,701,965","388,460,367.205","376,965,807.142","363,147,965.532","86,800,509.237","64,257,053.784","54,648,665"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"605,167.437","604,559.896","604,299"
CommonStockEquity,"58,885,029","55,878,990","66,458,797","79,710,448","66,285,930","80,266,812","96,192,218","113,037,868","103,878,774","109,772,744","125,850,979","143,099,333","139,818,939","150,899,153","172,112,190","187,769,092","190,153,331","216,077,186","178,277,364","198,404,863","257,452,928","244,309,704","279,286,651","300,140,073","304,478,263","250,001,828","262,388,011","275,816,839","293,533,742","228,759,806","326,733,199","364,729,438","307,852,241","318,438,916","391,377,300","441,263,700","364,883,994","399,454,340","394,230,588","415,732,223","375,847,550","386,205,188","377,322,408","391,175,627","372,224,255","364,328,233","411,891,872","421,163,060","382,680,121","385,515,948","375,547,719","378,741,745","343,376,687","375,193,618","366,414,571","360,028,154","318,856,723","314,663,090","364,063,000",,,"355,110,864","345,474,868","383,723,704","377,082,211","392,627,857","380,240,784","393,701,965","388,460,367.205","376,965,807.142","363,147,965.532","86,195,341.8","63,652,493.888","54,044,366"
CapitalLeaseObligations,"33,817,250","29,515,844","33,883,428","35,206,485","39,645,838","38,899,863","35,012,943","22,606,871","29,782,740","33,371,946","33,403,373","36,449,192","31,832,611","36,677,972","39,557,443","40,717,267","45,096,760","39,872,319","39,380,965","40,977,952","15,853,671","15,168,450","20,005,343","33,056,137","19,761,001",,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-171,896,130","-177,779,946","-171,633,473","-162,815,155","-180,673,006","-171,125,458","-154,675,052","-142,137,735","-155,605,162","-154,019,526","-142,249,624","-129,309,603","-135,363,802","-128,711,921","-111,867,217","-100,338,649","-102,262,743","-80,647,221","-122,755,377","-106,936,211","-56,446,365","-76,774,566","-51,306,701","-35,938,492","-87,566,023","234,891,041","246,271,329","258,694,261","288,794,308","223,396,245","321,007,177","307,036,476","265,315,918","275,245,506","347,526,804","400,933,477","323,842,019","367,739,761","362,467,791","383,921,207","343,988,316","354,297,736","345,366,737","359,171,738","339,826,007","331,571,614","379,087,035","388,966,297","345,431,593","347,638,822","337,041,995","339,607,423","303,613,767","334,802,100","325,394,455","318,334,995","276,468,298","271,579,402","320,284,046",,,"309,178,341","298,845,427","336,397,346","329,058,935","343,907,663","330,823,673","386,821,842","381,523,316.494","370,089,425.433","356,266,505.794","79,910,503.883","57,373,994.208","47,768,542"
WorkingCapital,"-259,593,621","-304,009,638","-298,468,966","-287,855,735","-310,718,301","-296,095,357","-266,307,322","-243,957,610","-262,339,146","-260,612,548","-243,727,433","-227,279,991","-232,395,438","-223,926,094","-204,879,317","-192,571,464","-201,472,961","-183,389,938","-173,391,533","-153,943,963","-134,866,187","-119,426,347","-94,482,246","-81,256,133","-141,042,702","160,982,669","172,242,146","193,648,987","200,454,609","154,175,042","262,780,079",,"156,077,643","170,078,601","192,915,098","206,656,909","121,290,087","145,278,919","242,136,360","264,038,925","218,909,928","234,738,887","236,792,506","252,129,776","266,907,796","260,605,825","320,943,377","329,363,998","285,309,690","286,514,112","275,202,309","274,562,590","237,014,753","272,243,559","264,003,875","257,417,932","217,423,236","210,817,810","258,043,456",,,"241,983,138","230,850,794","246,368,160","260,642,472","323,730,529","313,813,393","354,286,338","357,090,663.348","348,408,159.25","336,843,741.676","48,811,200.425","38,503,046.584","31,036,191"
InvestedCapital,"90,948,858","71,910,919","79,490,726","79,710,448","66,285,930","80,266,812","96,192,218","113,037,868","103,878,774","109,772,744","125,850,979","143,099,333","139,818,939","150,899,153","172,112,190","187,769,092","190,153,331","216,077,186","184,288,364","205,205,863","260,952,928","249,309,704","288,286,651","305,131,073","309,469,263","250,001,828","262,388,011","275,816,839","308,533,742","243,759,806","326,733,199","364,729,438","307,852,241","318,438,916","394,826,950","444,732,200","368,222,894","399,454,340","394,230,588","415,732,223","375,847,550","386,205,188","377,322,408","391,175,627","372,224,255","364,328,233","411,891,872","421,163,060","382,680,121","385,515,948","375,547,719","378,741,745","343,376,687","375,193,618","366,414,571","360,028,154","318,856,723","314,663,090","364,063,000",,,"355,110,864","345,474,868","383,723,704","377,082,211","392,627,857","380,240,784","393,701,965","388,460,367.205","376,965,807.142","363,147,965.532","86,195,341.8","63,652,493.888","54,044,366"
TangibleBookValue,"-171,896,130","-177,779,946","-171,633,473","-162,815,155","-180,673,006","-171,125,458","-154,675,052","-142,137,735","-155,605,162","-154,019,526","-142,249,624","-129,309,603","-135,363,802","-128,711,921","-111,867,217","-100,338,649","-102,262,743","-80,647,221","-122,755,377","-106,936,211","-56,446,365","-76,774,566","-51,306,701","-35,938,492","-87,566,023","234,891,041","246,271,329","258,694,261","288,794,308","223,396,245","321,007,177","307,036,476","265,315,918","275,245,506","347,526,804","400,933,477","323,842,019","367,739,761","362,467,791","383,921,207","343,988,316","354,297,736","345,366,737","359,171,738","339,826,007","331,571,614","379,087,035","388,966,297","345,431,593","347,638,822","337,041,995","339,607,423","303,613,767","334,802,100","325,394,455","318,334,995","276,468,298","271,579,402","320,284,046",,,"309,178,341","298,845,427","336,397,346","329,058,935","343,907,663","330,823,673","386,821,842","381,523,316.494","370,089,425.433","356,266,505.794","79,305,336.445","56,769,434.312","47,164,243"
TotalDebt,"65,881,079","45,547,773","46,915,357","35,206,485","39,645,838","38,899,863","35,012,943","22,606,871","29,782,740","33,371,946","33,403,373","36,449,192","31,832,611","36,677,972","39,557,443","40,717,267","45,096,760","39,872,319","45,391,965","47,778,952","19,353,671","20,168,450","29,005,343","38,047,137","24,752,001",,,"0","15,000,000","15,000,000",,"0","0","0","3,449,650","3,468,500","3,338,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareIssued,"64,094,382",,"63,249,096","63,834,454","63,533,106","62,947,748","64,485,358","64,585,618","62,802,810","63,171,840","63,171,840","63,829,698","62,753,840","62,753,840","62,753,840","63,339,198","62,753,840","63,402,376","63,402,376","63,286,360","62,701,002","62,701,002","63,476,808","62,942,436","56,760,944","48,646,094","48,646,094","46,382,244","47,754,386","47,754,386","47,754,386",,"48,436,886","48,436,886","49,068,082","48,482,724","45,842,724","45,842,724","46,439,706","45,905,582","45,905,582","45,905,582","46,490,940","46,337,518","46,337,518","46,337,518","46,128,636","45,200,000","45,300,000","45,300,000","46,026,752","45,000,000","45,000,000","46,000,000","47,109,126","45,700,000","44,700,000","44,700,000","44,596,416",,,"44,400,000","44,441,762","44,800,000","45,700,000","45,700,000","46,227,728","45,700,000","45,700,000","43,600,000","47,179,320","43,378,710","43,378,710","43,378,710"
OrdinarySharesNumber,"63,509,024",,"63,249,096","63,249,096","62,947,748","62,947,748","63,900,000","64,000,260","62,802,810","63,171,840","63,171,840","63,244,340","62,753,840","62,753,840","62,753,840","62,753,840","62,753,840","63,402,376","63,402,376","62,701,002","62,701,002","62,701,002","63,476,808","62,357,078","56,760,944","48,646,094","48,646,094","45,796,886","47,754,386","47,754,386","47,754,386",,"48,436,886","48,436,886","48,482,724","48,482,724","45,842,724","45,842,724","45,854,348","45,905,582","45,905,582","45,905,582","45,460,582","46,337,518","46,337,518","46,337,518","46,091,518","45,200,000","45,300,000","45,300,000","46,000,312","45,000,000","45,000,000","46,000,000","45,962,376","45,700,000","44,700,000","44,700,000","44,596,416",,,"44,400,000","44,441,762","44,800,000","45,700,000","45,700,000","45,675,514","45,700,000","45,700,000","43,600,000","43,600,000","43,378,710","43,378,710","43,378,710"
TreasurySharesNumber,"585,358",,,"585,358","585,358",,"585,358","585,358",,,,"585,358",,,,"585,358",,,,"585,358",,,,"585,358",,,,"585,358",,,,,,,"585,358",,,,"585,358",,,,"1,030,358",,,,"37,118",,,,"26,440",,,,"1,146,750",,,,,,,,,,,,"552,214",,,,"3,579,320",,,
