Symbol,Name,Description,Sector,Industry,Industry_2,Optionable,Country
ABTC,American Bitcoin Corp.,Nondepository credit institutions,Finance,FIN-MISC SVCS,FINANCE,Y,UNITED STATES
ABTS,ABITS GROUP,Nondepository credit institutions,Business Services,ADVERTISING/MKTG SVCS,BUSINESS SERVICES,N,HONG KONG
ABUS,Arbutus Biopharma,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ABVC,ABVC BIOPHARMA,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ABVE,Above Food Ingredients Inc.,Holding & other investment offices,Consumer Staples,FOOD-MISC/DIVERSIFIED,FOOD,Y,UNITED STATES
ABVX,Abivax SA Sponsored ADR,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,FRANCE
ABWN,Airborne Wireless Network,Catalog & mail-order houses,Computer and Technology,Wireless National,TELECOMM SVCS,N,UNITED STATES
ACA,Arcosa,Fabricated structural metal products,Construction,BLDG&CONST-MISC,BUILDING PRODS,Y,UNITED STATES
ACAD,ACADIA Pharmaceuticals,Pharmaceutical preparations,Medical,MED-BIOMED/GENE,DRUGS,Y,UNITED STATES
ACAI,Safeplus International Holdings Limited,Surgical & medical instruments,Medical,MED PRODUCTS,MED PRODS,N,UNITED STATES
ACB,Aurora Cannabis,Medicinals & botanicals,Medical,MED PRODUCTS,MED PRODS,Y,CANADA
ACCL,Acco Group Holdings Limited,Management consulting services,Business Services,Consulting,BUSINESS SERVICES,N,HONG KONG
ACCO,Acco Brands,"Blankbooks, looseleaf binders, & bookbinding & related work",Consumer Discretionary,CONSM PD-MISC DIS,OTHER CONS DISC,Y,UNITED STATES
ACCS,ACCESS Newswire Inc.,Management consulting services,Consumer Discretionary,MEDIA CONGLOM,MEDIA,N,UNITED STATES
ACCYY,Accor SA - Sponsored ADR,Private households,Consumer Discretionary,HOTELS & MOTELS,LEISURE SERVICES,N,FRANCE
